,count,hate_speech,offensive_language,neither,class,tweet,
85,3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",
90,3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",
111,3,3,0,0,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",
186,3,3,0,0,0,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",
204,3,2,1,0,0,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",
206,3,2,1,0,0,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",
221,6,3,2,1,0,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",
263,3,2,1,0,0,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",
317,3,2,1,0,0,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",
320,3,2,1,0,0,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",
354,3,2,1,0,0,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",
357,3,2,1,0,0,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa",
443,3,2,1,0,0,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",
466,3,3,0,0,0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",
528,3,2,1,0,0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",
535,3,2,1,0,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;",
540,3,2,1,0,0,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T",
549,3,3,0,0,0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",
574,3,2,1,0,0,"""These sour apple bitter bitches, I'm not fuckin wit em""",
591,3,3,0,0,0,"""We hate niggers, we hate faggots and we hate spics""-kkk rally",
592,3,2,1,0,0,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",
597,3,2,1,0,0,"""Who the fuck you callin jiggaboo, nigga?!""",
598,3,3,0,0,0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",
613,3,2,1,0,0,"""You ain't gunna do shit spear chucker""",
624,3,2,1,0,0,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",
635,3,2,1,0,0,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""",
645,3,2,1,0,0,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",
656,3,2,1,0,0,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race",
657,3,2,1,0,0,"""poor whitey"" http://t.co/3UkKeyznz8",
673,3,2,0,1,0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",
693,3,3,0,0,0,#California is full of white trash,
694,3,2,1,0,0,#California is full of white trash who moved from #Oklahoma,
700,3,2,0,1,0,#DTLA is trash because of non-Europeans are allowed to live there.,
710,3,2,0,1,0,#Dutch farmers are white trash.,
711,3,3,0,0,0,#Dutch people who live outside of #NewYorkCity are all white trash.,
742,3,2,1,0,0,#Iowa is full of white trash,
744,3,2,1,0,0,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,
750,3,3,0,0,0,#Minnesota is full of white trash,
772,3,2,1,0,0,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,
775,3,2,1,0,0,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome",
789,3,2,1,0,0,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day",
790,3,2,1,0,0,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,
791,3,3,0,0,0,#SouthCarolina is full of white trash,
803,3,2,1,0,0,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes,
807,3,2,1,0,0,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.",
808,3,2,1,0,0,"#TweetLikePontiacHolmes&#160;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga",
811,3,3,0,0,0,"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot",
812,3,2,1,0,0,#Virginia is full of white trash.,
815,3,2,1,0,0,#WestVirginia is full of white trash.,
850,3,2,0,1,0,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",
851,3,3,0,0,0,#firefighter is a job for white trash,
864,3,2,0,1,0,#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG,
988,3,2,1,0,0,&#128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;,
991,3,2,1,0,0,&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot,
998,3,2,1,0,0,&#128514;&#128514; fucc nicca yu pose to be pullin up,
1010,3,2,1,0,0,"&#128514;&#128514;&#128514; i just said that RT @BoyThats_ARYAH: My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg",
1029,3,2,1,0,0,&#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#128293;,
1074,3,2,1,0,0,&#128563; RT @KingHov1313: They recruited buku fags in here!&#128563;...a warehouse is no place for them!&#128530;,
1091,3,2,0,1,0,"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... http://t.co/XZQ9XmaQTf",
1121,4,3,1,0,0,&#8220;@AlexaDelsanter: This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wonder who's awesome tank that is &#128522;,
1167,3,2,1,0,0,"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi""",
1230,3,2,1,0,0,"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those illegal, wetbacks home!!!",
